Employee ID,Name,Domain,Department,Age,Gender,Marital Status,Location,Join Date,Salary,Exp,Performance Rating,Email,Phone Number,Bonus,Attendance_Percentage,Project Count,Remote Work,Manager Name,Education Level,Last Review Date,Employee Status
EMP4711,Avni Bhatt$,Datascience**,Support,31yr,MALE,DIVORCED,,13.10.2017,6000$0,7> yrs,58%,avnibhatt22@company.com,05254727545,15000,98.6,6 projects,YES ,Navya Israni&,Masters,"Aug 06, 2025",Resigned
EMP2315,Pallavi Hooda,webdevelopment^^#,Sales,35-yr,M,DIVORCED,Bangalore,23.02.2022,1^0000,15+ year,4.5 stars,pallavihooda78@outlook.com,(+91) 0932043341,5000,78 %,6 projects,no,Shaurya Patel,PhD,2024-12-17,Active
EMP10909,Elijah% Gupta,Analytics,engineering,36' yr,F,single,Ahmedabad,23-Mar-2018,900%00,9> yrs,22%,elijahgupta23@outlook.con,(+91) 1762532800,,,11,,Vivaan Qureshi,Diploma,"Mar 30, 2025",Resigned
EMP6581,Raj Iqbal,DevOps!!,Finance,48 yr,M,Married,Hyderabad,19.09.2023,50%000,10,56%,rajiqbal30@gmail.com,(+91) 6379613109,,67.5,,,,Masters,2025-10-07,Active
EMP2008,Harper Sinha,WebDevelopment,engineering,27' yr,female ,MARRIED,Ahmedabad,2023/04/14,5^000,12,2.5^,harpersinha18@yahoo.in,,,84.7,7,YES ,Arjun Bansal,Ph.D.,04-May-2023,Active
EMP3003,Aniket Nambiar,devops,marketing,,male ,Single,Ahmadabad,18.02.2015,1200%0,<7,4.3,aniketnambiar9_at_yahoo.in,97102 64013,,96.2%,1,,reyansh das,Bachelors,20-Mar-2024,Active
EMP2411,Simran Smith,Statistics,,56-yr,,Single,Chennai,08.03.2024,500%00,4+,,simransmith41@gmail.com,034-238-4157,1000,88.7%,9,,,Masters,2024/10/14,resigned
EMP10126,Rhea +Bhatia,Datascience,HR,47,male ,Married,Mumbai,2017-09-22,1#0000,7+,1.5 stars,rheabhatia19@gmail.com,098-464-7847,10000,86.0,2,Yes,Harper Deshpande,,2025-08-09,ACTIVE
EMP6999,Rehan ^Chopra,Statistics,marketing,55' yr,female ,Married,Chennai,2020/11/19,10%000,,2.9 stars,rehanchopra62@yahoo.in,2468268263,20000,61.7,10+,,William Uppal,Diploma,05.07.2024,RESIGNED
EMP5640,Anvi +Dixit,DATAANALYST#$,marketing,30yr,,,,2014-09-28,50000,8,1.4 stars,anvidixit79@gmail.com,33860 31953,10000,, 4,Y,,Masters,10/04/2025,Terminated
EMP8896,Uma Rao,Dataanalyst^^#,Marketing,23,,married,,2015/08/31,120^00,<12,2.3 stars,,,,96 %,,Y,Navya Israni,Bachelors,06.12.2024,active
EMP8128,Scarlett Agarwal,webdevelopment,marketing,,MALE,Divorced,Kolkata,2020/12/19,18000,4 yrs,92%,scarlettagarwal15@gmail.com,4049267048,2500,99.3%,1,Y,Rhea Vaidya,PhD,21-Feb-2025,active
EMP8218,Aman Tandon%,machinelearning##,Engineering,50,M,Single,Ahmedabad,27-May-2016,,6+,1.8,amantandon22@company.com,05676385161,5000,, 4,No,riya chauhan*,Bachelors,18-Jan-2024,terminated
EMP3402,Linda Kulkarni,NLP!!,Marketing,59yr,male ,Married,Pune,25/11/2018,1%5000,11,4.6/5,lindakulkarni39@yahoo.in,2107721776,,85.4pct, 4,No,Sara Chopra,PhD,30/07/2024,
EMP6344,George Wadhwa!,Testing,HR,48 yr,,,Pune,2023-02-13,6000,1 yrs,3.1,georgewadhwa32@gmail.com,301-423-9308,2500,79 %,,Y,,PhD,2024-02-28,Active
EMP8880, Tom Bansal  ,nlp,Support,35-yr,MALE,Divorced,Chennai,2024/04/26,350%00,12+,84%,tombansal51@outlook.com,,7500,, 12,yes,grace taneja,Diploma,2024/09/24,
EMP9013,Sebastian Mathur,CloudEngineering,Support,45 years,,Married,Chennai,28/10/2020,90000,<14,4.2^,sebastianmathur54@yahoo.in,822-170-2603,7500,90.7,5,YES ,John Yusufzai,Bachelors,03-Jul-2023,Resigned
EMP2901,Navya Bhalla,WebDevelopment,Operations,,Female,Divorced,Pune,24.02.2015,40000,,4.5,navyabhalla45@outlook.com,(+91) 7598132606,2#500,98.2%,9+,No,Ajay Goel,,30-Apr-2025,Terminated
EMP10540,Tanvi Dutta,analytics^^#,,25' yr,Male,SINGLE,,"Mar 09, 2018 ",100#00,5> yrs,,tanvidutta37@gmail.com,+91-8380396058,10$000,,5 projects,N,Saanvi Xavier,PhD,"Dec 14, 2023",Terminated
EMP9524,Priya+ Dube,Dataanalyst,HR,62yr,male ,Divorced,Bangalore,21-Aug-2016 ,600$0,8+ year,4.7 stars, priyadube98@gmail.com,04705629955,25$00,79.9pct,3+,Y,Mia Naidu,PhD,2023-08-25,
EMP9485,Vivaan# Smith,MachineLearning,Finance,40yr,Male,M,Bangalore,15.04.2023,8000,11 yrs,,vivaansmith42@gmail.com,04894976469,15000,,4+,no,Tom Singh,Bachelors,08.05.2023,Resigned
EMP6273,Hannah Tandon,cloudengineering##,Finance,39yr,M,SINGLE,Ahmedabad,2018-03-31,60000,15+ year,82%,hannahtandon13@gmail.com,,2500,93.6%, 7,YES ,,M.Tech/MBA,2023-02-09,ACTIVE
EMP10630,Zara Varma*,DevOps#$,HR,32' yr,Male,Divorced,Hyderabad,01.09.2021,25000,15+,,zaravarma98@yahoo.in,02283484628,5000,61.7%,9,no,sara chopra,M.Tech/MBA,16.05.2025 ,ACTIVE
EMP2195,Anaya$ Menon,Dataanalyst^^#,support Dept.,42 years,M,divorced,Hyderabad,2023/03/11,100000,14,4.2,anayamenon58@yahoo.in,+91-5232361020,5000,, 4,,Grace Taneja,Diploma,13-Feb-2024,Terminated
EMP9588,Ethan Clark%,STATISTICS##,sales,64-yr,M,Married,Chennai,"Jan 22, 2015",25%000,10> yrs,2.3 stars,ethanclark73@outlook.com,(+91) 8087625856,1^000,85.3%, 5,Y,arjun rana,phd,"Apr 01, 2025",Resigned
EMP6567,Manya S!engupta,CLOUDENGINEERING,Finance,56 yr,Male,divorced,,19.02.2019,30000,<14,2.8/5,manyasengupta15@outlook.com,57266 55279,,81.4%, 0,,lily tandon+,Bachelors,"Sep 03, 2024",
EMP7250,Mike Zaidi^,CloudEngineering,finance,29,,divorced,Chennai,2023-05-25,50000,,4.8 stars,,+91-4500312588,#2000,67 %,2,YES ,Pooja Sinha!,Masters,"Feb 11, 2025",resigned
EMP5227,Uttam Kohli,WebDevelopment,Finance,52 years,female ,Divorced,Kolkata,22-Oct-2020,100000,5,1.3,uttamkohli22@company.com,3730765343,%0,63.2,1 projects,yes,Arjun Rana,Diploma,16-Jul-2025,ACTIVE
EMP3634,Sophia Ghosh,NLP!!,Support,37yr,M,Divorced,Bangalore,24-Dec-2017,75#000,11+ year,4.5/5,sophiaghosh6_at_yahoo.in,14603 48173,75^00,60.9pct,10 projects,,Diya Menon,Diploma,2023/12/13 ,
EMP8088,Ravi Cha*kraborty,WebDevelopment^^,Finance,,Male,divorced,Chennai,20.01.2021,1800#0,7,3.2/5,ravichakraborty26@outlook.com,8775359402,10000,77.1,8,N,Emma Xavier,Bachelors,2025/02/10,terminated
EMP10896,Harper% Reddy,DATAANALYST!!,HR,,MALE,Divorced,,14-Feb-2018,12000,12> yrs,,harperreddy87_at_gmail.com,7063385361,,88.5pct,2+,Y,Henry Menon,phd,2023/12/24,Terminated
EMP1110,Aditya Madan,Analytics,HR,43-yr,M,,Pune,2023/04/17,5000,4 yrs,3.5/5,adityamadan89@company.com,(+91) 5001683611,#0,73.4,11+,NO,Chloe Hari,Masters,"Mar 29, 2024",Terminated
EMP9895,Michael Kapoor,nlp,HR,29' yr,Male,Divorced,Delhi,07-Oct-2024,90%000,1,2.4^,michaelkapoor56@company.com,,5000,80 %,6+,yes,Aarav Easwaran%,,25.07.2025,Terminated
EMP5226,Pari Dixit,WebDevelopment!!,HR,40' yr,FEMALE,MARRIED,Pune,"Jul 08, 2015",18000,6+ year,2.6/5,paridixit70@company.com,21823 58592,10000,,5+,Yes,mihir williams,Bachelors,31/01/2025,terminated
EMP4440,Pari ^Wilson,Datascience!!,Marketing,58yr,male ,Divorced,Delhi,2020-08-01,8^000,6,88%,pariwilson22@outlook.com,(+91) 2162804695,$1000,83 %, 4,,Mihir Smith$,Diploma,2024-08-29,Resigned
EMP9441,Diya Acharya,CloudEngineering!!,Operations_dept,58yr,MALE,Married,,05-May-2016,75000,,26%,diyaacharya50@gmail.com,,15%000,, 9,NO,Ira Yusufzai,PhD,07/08/2025,
EMP5513,Olivia Dutta#,DevOps^^#,support,39' yr,Male,Married,Hyderabad,23.06.2014,50000,7+,1.7,oliviadutta29@gmail.com,+91-5008730916,10^000,94.0pct, 6,yes,Kabir Chopra,PhD,16/07/2023,Terminated
EMP10968,Anvi Verma,Analytics,Support,55-yr,Female,,Delhi,06.05.2018,5$000,<9,,anviverma65@yahoo.in,5725523170,5000,77.1,4+,Y,Liam Clark,,03.11.2025,Active
EMP9257,Ishaan! Patel,statistics,finance,37yr,F,Divorced,Delhi,31/05/2017,60#00,2> yrs,,ishaanpatel52@yahoo.in,452-826-5020,7500,87.6pct, 8,Y,Omar Rana,Masters,2024/01/25 ,active
EMP6778,Ishan Das,Dataanalyst,,37 yr,f,Single,Banglore,2014-06-12,1#8000,4,2.8,,+91-9658549586,1000#0,62.6%,9 projects,No,,bachelors,2023/08/22,Active
EMP3499,Isha Solanki!,Dataanalyst,,41 years,FEMALE,Divorced,Ahmedabad,23/10/2018,6000,5 yrs,,ishasolanki31@company.com,28679 05353,,94 %,0 projects,N,Jane Acharya%,PhD,02-May-2023,Resigned
EMP3562,Evelyn Uppal,testing,HR,,FEMALE,Single,Kolkata,03-Aug-2015,100%00,15+ year,3.9^,,505-370-8265,,61 %,1 projects,Y,Dev Easwaran!,b.tech/b.e,15-Jun-2024,Terminated
EMP3055,Carlos Brown,CloudEngineering,Engineering,61-yr,,divorced,Kolkata,2021-10-08,15000,,2.3 stars, carlosbrown85@outlook.com,+91-8593745662,0,92.2,11,NO,Arjun Joshi,PhD,2023-11-02,Resigned
EMP4843,Henry Joshi,webdevelopment##,HR,26,FEMALE,MARRIED,,01.07.2020,600#0,8 yrs,1.8,henryjoshi16@yahoo.in,3485161822,1%5000,66.2pct,9 projects,No,,Masters,08/07/2024,active
EMP5777,Raj Bhatia,Datascience**,finance,,F,Married,Ahmedabad,03.09.2019,8^000,14+ year,3.2,rajbhatia75@outlook.com,00608735889,20^000,66 %,10+,No,Hannah Yadav,M.Tech/MBA,2024/07/24,Active
EMP8279,Scarlett Clark,Dataanalyst,Sales,45-yr,Female,Married,Bangalore,"Dec 15, 2014",,14+ year,5.0 stars,scarlettclark11@company.com,578-785-9371,15000,65.8%,6+,No,Pari Chhabra,m.tech/mba,16/12/2023,Active
EMP2783,Dhruv* Hegde,CloudEngineering^^,Engineering,,Male,DIVORCED,Delhi,2020-05-17,600$00,2,,,,75$00,63.4%,3 projects,N,Sophia Patel$,Bachelors,2024/10/06,Terminated
EMP3963,Yusuf Joshi,webdevelopment##,Sales,58yr,f,,Kolkata,"Mar 31, 2019",1$0000,<2,28%,yusufjoshi54@gmail.com,09369481238,^5000,61.0pct,2+,no,,Diploma,25/10/2025,
EMP9882,Raj ^Singh,MACHINELEARNING!!,Sales,30 yr,M,Married,Bangalore,"Jul 29, 2014",8%000,11 yrs,4.7,rajsingh88@yahoo.in,7205495925,,76.7pct,,no,Dev Qureshi,,28-Jul-2023,Active
EMP9857,Manya Raina,STATISTICS^^#,marketing_dept,,F,Divorced,Chennai,2021/04/22,2500^0,15> yrs,,manyaraina53@outlook.con,+91-3194949562,#7500,67 %, 1,N,Imran Chauhan,Bachelors,10/11/2023,Terminated
EMP9500,Vivaan Dutta,datascience,Support,61yr,M,Divorced,Ahmedabad,08.07.2017,90000,12 yrs,,vivaandutta61@gmail.com,,5000,,7,Y,Lily Tandon,PhD,2025/10/22,Terminated
EMP2484,Sahil Walker,Datascience,Finance,23yr,M,Divorced,Chennai,14-Aug-2024,20000,6+,3.6 stars,,49270 57984,0,94.6,6,NO,Imran Thakur,PhD,06.08.2024 ,Terminated
EMP4307,Ira Goel,cloudengineering,Marketing,52yr,MALE,,Mumbai,26-Apr-2016,60000,15,,iragoel29@company.com,(+91) 8793039001,,94.8,,yes,Meera Bansal#,Bachelors,2023/06/04,Terminated
EMP7339,Ava Nair,MachineLearning##,HR,24 yr,FEMALE,,,01.08.2018,1%00000,15> yrs,4.7/5,avanair66@outlook.com,5624086267,5$000,94.6%,0+,yes,Avni Narayan,masters,2024-09-18,Resigned
EMP7399,William Desai,Analytics,HR,51,M,,Ahmedabad,06.09.2017,12000,,1.8^,,+91-0368545002,1000,78 %, 10,YES ,Veer Rao,Diploma,2025/03/01,Resigned
EMP10476, Divya Bedi  ,Dataanalyst,Operations,26yr,Male,SINGLE,Ahmedabad,2023/04/04,50000,15 yrs,3.1,divyabedi16@company.com,9480340877,15#000,92.8,10,Yes,,bachelors,07-Aug-2025,
EMP3027,Komal Bose,MACHINELEARNING,operations_dept,57,F,S,Bangalore,02.01.2022,25000,7+,3.9/5,komalbose24@company.com,499-020-6479,10000,,9,no,Teddy Oberoi%,,19/09/2025,Active
EMP8228,Simran% Sinha,Statistics,Support,62-yr,F,Single,Bangalore,2018/01/20,18000,,2.0 stars,simransinha72@company.com,61495 01984,$0,97.8,9+,Yes,Alexander Jindal,,11.07.2024,Active
EMP1213,Ranbir Thakur*,Dataanalyst,Operations,27,male ,S,Bangalore,21.08.2016,9000#0,15+,1.6,ranbirthakur49@yahoo.in,08498055007,%10000,98.1,11 projects,No,pari thakur,Diploma,25-Aug-2024,TERMINATED
EMP7755,Ishan$ Dutta,CloudEngineering##,Operations,46' yr,,Divorced,Ahmedabad,21/02/2014,40000,3+,3.5/5,ishandutta31@outlook.com,4120210899,15000,72.5,0+,Yes,Grace Taneja,bachelors,2025/06/26,Terminated
EMP5437,Hannah Bose,CloudEngineering,Engineering,41 years,,Married,Hyderabad,04.08.2014,10000,2+ year,2.1 stars,hannahbose16@outlook.com,(+91) 1145264552,15000,,,YES ,Olivia Wilson,phd,18-Nov-2023,
EMP9300,Alexander Williams%,WebDevelopment,Sales,61' yr,MALE,single,Kolkata,15.09.2023,1800$0,<3,2.3^,,+91-6571528055,1000,77 %, 5,No,Isha Narayan,M.Tech/MBA,"Jan 21, 2025",resigned
EMP7004,Dhru&v Das,Testing,finance,42 yr,m,,Bangalore,2020/05/29,6000#0,,1.7^,dhruvdas72@company.com,+91-9431143035,5000,64.8%, 3,,pooja rastogi,Masters,2023/08/31,Terminated
EMP6789,Avni !Kohli,cloudengineering^^,Finance,,M,M,Banglore,"Dec 21, 2021",3^0000,13+,44%,avnikohli45@outlook.com,590-694-8498,20000,64 %,10 projects,YES ,harper zaidi,Diploma,17-Oct-2024,Resigned
EMP6609,Willia#m Hegde,NLP^^,Support,46 years,,,Ahmedabad,"Oct 31, 2016",1500#0,<13,3.4 stars,williamhegde94@company.com,07664596691,2000$0,95.9%,4 projects,no,Nikhil Zaidi,Masters,2025/07/18,RESIGNED
EMP10807,Mike Shah,Testing,engineering,23 yr,MALE,,,01.01.2021,10000,,2.6^,mikeshah69@company.com,,1^000,,0+,Yes,,PhD,05.01.2023,resigned
EMP9559,Sahil% Madan,Testing##,marketing,37' yr,Female,Divorced,Chennai,2021/08/30,1200$0,<7,,sahilmadan81@company.com,2871724513,15000,64.2%, 7,No,Oliver Deshpande,PhD,"Dec 21, 2024",Resigned
EMP7863,James Johnson,machinelearning,engineering,58' yr,female ,SINGLE,Chennai,26/03/2021,30^000,11 yrs,2.8 stars,jamesjohnson63@outlook.com,0555815373,5000,93.0, 10,Y,maya chauhan,Bachelors,2024-09-03,RESIGNED
EMP6221,Veer &Ghosh,Testing,HR,49-yr,MALE,,Ahmedabad,11/03/2023,,12+ year,4.0/5,veerghosh59@company.com,(+91) 8163227904,2000,86.9%,1,Y,Ranbir Menon,Masters,2024-10-13,RESIGNED
EMP3136, Anvi Farooqui  ,Testing,Support Dept.,24 yr,f,Married,Pune,17.12.2017,6000,9 yrs,,anvifarooqui61@yahoo.in,056-926-2097,10000,70.0,6+,No,neha mukherjee,diploma,08/02/2025,Resigned
EMP8293,Veer M!alhotra,Datascience,Operations,34-yr,Male,Divorced,Ahmedabad,02.03.2017,8000,12> yrs,2.2 stars,veermalhotra1@yahoo.in,+91-9641649878,^10000,,7+,N,Leo Chandra,Masters,14-Feb-2024,Terminated
EMP8944,Aniket Pillai,datascience,Marketing,56 yr,f,Married,Pune,17/12/2023,8^000,7 yrs,1.2/5,aniketpillai76@yahoo.in,69782 88980,,80.0,5 projects,YES ,Mihir Smith,PhD,"Nov 19, 2024",Terminated
EMP10823,Meera Wadhwa,Statistics,HR,44' yr,male ,Divorced,Ahmedabad,24/09/2022,1$5000,,2.4/5,,11654 67513,,92.9pct,7 projects,yes,Pari Prasad%,Diploma,2023-11-17,TERMINATED
EMP3925,Ishan Tandon,Datascience,HR,59yr,F,Divorced,,2016/08/20,120#00,3+,24%,ishantandon37@company.com,(+91) 2660215354,1$5000,64.4%,5 projects,yes,Oliver Sinha,Masters,26-Jan-2025,
EMP2810,Simran Gupta,Datascience^^#,Sales,32,f,M,Bangalore,21.12.2019,8000,14+ year,4.8 stars,,5745309893,7500,98.1,8 projects,No,Zara Jain,Diploma,"Jun 15, 2023",Active
EMP4244,Maya #Thakur,nlp,finance,59,M,Married,,2015/11/30,6%000,7+ year,3.0,,(+91) 7591217271,15$000,89.2%,10 projects,,,PhD,17.03.2023,Active
EMP1120,Manya Farooqui,Analytics^^#,Support,28' yr,male ,,Mumbai,23/06/2024,5000,8 yrs,1.3/5,manyafarooqui25_at_yahoo.in,(+91) 8609638383,2000,,,no,Oliver Sinha,PhD,2024/11/09,Terminated
EMP5593, Ishan Yusufzai  ,DevOps,SUPPORT,49' yr,Male,,,"Jul 10, 2015",120%00,12,2.0 stars,ishanyusufzai15@company.con,(+91) 7905640474,5000,66.2, 1,no,Maya Dube,Diploma,24/10/2024,Resigned
EMP7211,Navya Pandey,datascience^^,Support Dept.,,Female,Divorced,,"Sep 23, 2018",15000,1,2.2^,navyapandey41@yahoo.in,5306585610,,78 %, 1,no,Jane Bedi,,08.04.2023,Terminated
EMP1801,Pari Dube,DATASCIENCE,Support,25yr,Male,Single,Chennai,2023/09/13,30$000,4 yrs,,paridube50@company.com,030-426-7267,15000,62.0,12,YES ,William Kaur,Bachelors,2025/08/14,terminated
